,slashtag,url,date_added
0,patcon,https://keybase.io/patcon,2022-04-11T14:09:59.000Z
1,ideas,https://holy-turn-11a.notion.site/Ideas-Projects-e31a56335273432187e9b2a39bf633c2,2022-04-10T22:48:30.000Z
2,littleparis,https://i.pinimg.com/originals/ce/19/f7/ce19f7aaf61699eb19f3798ba9a3829b.jpg,2022-04-09T22:20:42.000Z
3,events,https://www.nwspk.com/events,2022-04-09T22:20:42.000Z
4,register,https://www.nwspk.com/account/sign_up,2022-04-09T22:20:41.000Z
5,login,https://www.nwspk.com/account/sign_in,2022-04-09T22:20:41.000Z
6,fellows,https://www.nwspk.com/fellowship,2022-04-09T22:20:40.000Z
7,list,https://github.com/clementbriens/newspeak-shortlink/blob/main/shortlinks.csv,2022-04-09T20:08:30.000Z
8,readme,https://github.com/clementbriens/newspeak-shortlink,2022-04-09T20:08:29.000Z
9,viktor,https://twitter.com/VVeterinarov,2022-04-09T19:40:54.000Z
10,jobs,https://docs.google.com/spreadsheets/d/1dFVoF6f9VU5pjaGhyyvQaBN0n6ae-iLCtlvsO1N2jhA/edit#gid=0,2022-04-09T19:09:44.000Z
11,home,https://newspeak.house,2022-04-09T18:52:42.000Z
12,clem,https://clement-briens.com,2022-04-09T18:27:46.000Z
,pi,https://holy-turn-11a.notion.site/Pis-c6910bbf8d99412c8483cf75c28301e8,
